add-csv-1,192.168.198.1,ip-netmask
add-csv-2,192.168.198.2,ip-netmask
add-csv-3,192.168.198.3,ip-netmask
add-csv-4,192.168.198.4,ip-netmask
add-csv-5,192.168.198.5,ip-netmask
add-csv-6,192.168.198.6,ip-netmask
add-csv-7,192.168.198.7,ip-netmask
add-csv-8,192.168.198.8,ip-netmask
add-csv-9,192.168.198.9,ip-netmask
add-csv-10,192.168.198.10,ip-netmask
add-csv-11,192.168.198.11,ip-netmask
add-csv-12,192.168.198.12,ip-netmask
add-csv-13,192.168.198.13,ip-netmask
add-csv-14,192.168.198.14,ip-netmask
add-csv-15,192.168.198.15,ip-netmask
add-csv-16,192.168.198.16,ip-netmask
